시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
유치원,새봄유치원,경기도 화성시 병점구 서동탄로 28,경기도 화성시 병점구 능동 1286번지,37.20097614,127.0477877,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
초등학교,새봄초등학교,경기도 화성시 병점구 병점노을로 19,경기도 화성시 병점구 병점동 756-263번지,37.20146101,127.0297554,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
유치원,새솔유치원,경기도 화성시 만세구 큰나래1길 27,경기도 화성시 만세구 새솔동 156번지,37.27285411,126.8289776,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,새솔초등학교,경기도 화성시 만세구 수노을1로 148,경기도 화성시 만세구 새솔동 14번지 송산신도시대방노블랜드더퍼스티지1차,37.28604949,126.8201777,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
초등학교,서경초등학교,경기도 화성시 병점구 동탄지성로 265,경기도 화성시 병점구 기산동 477번지,37.21702273,127.0508488,경기도 화성시 병점구 안전건설과,화성동탄경찰서,N,,,2026-02-01
초등학교,서신초등학교,경기도 화성시 만세구 서신면 매화3길 17,경기도 화성시 만세구 서신면 매화리 333번지,37.17011249,126.7078399,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
유치원,서연유치원,경기도 화성시 동탄구 동탄순환대로8길 58,경기도 화성시 동탄구 장지동 965번지,37.16081544,127.1088121,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
초등학교,서연초등학교,경기도 화성시 동탄구 동탄대로4가길 25,경기도 화성시 동탄구 장지동 979번지,37.15976339,127.1137726,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
초등학교,석우초등학교,경기도 화성시 동탄구 동탄시범한빛길 32,경기도 화성시 동탄구 반송동 20번지,37.20927868,127.0681992,경기도 화성시 동탄구 경제교통과,화성동탄경찰서,N,,,2026-02-01
초등학교,석천초등학교,경기도 화성시 만세구 우정읍 석천길 52,경기도 화성시 만세구 우정읍 석천리 52-3번지,37.05515175,126.7887413,경기도 화성시 만세구 경제교통과,화성서부경찰서,N,,,2026-02-01
